,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
409, Octavia,1,1.6,14898,0,0,1,1,0
411, Fabia,1,1.0,11291,0,1,0,0,1
412, Fabia,3,1.0,10385,0,0,1,0,1
413, Octavia,5,2.0,12485,0,1,0,1,0
414, Octavia,1,1.6,13998,0,1,0,1,0
415, Octavia,2,1.6,13498,0,1,0,1,0
416, Yeti,4,2.0,9998,0,1,0,1,0
417, Citigo,3,1.0,8995,1,0,0,0,1
418, Kodiaq,3,1.4,16495,0,1,0,0,1
419, Fabia,3,1.2,8295,0,1,0,0,1
420, Octavia,2,1.6,13498,0,1,0,1,0
421, Fabia,2,1.0,7318,0,1,0,0,1
422, Scala,1,1.0,15985,0,0,1,0,1
423, Octavia,4,2.0,13591,0,1,0,1,0
424, Citigo,5,1.0,6295,0,1,0,0,1
425, Citigo,1,1.0,7985,0,1,0,0,1
427, Fabia,2,1.0,11995,0,1,0,0,1
428, Octavia,1,1.6,13995,0,1,0,1,0
429, Octavia,1,1.6,14495,0,0,1,1,0
430, Superb,4,2.0,14595,0,1,0,1,0
431, Octavia,3,2.0,12995,0,1,0,1,0
432, Superb,3,2.0,16498,0,1,0,1,0
433, Octavia,1,1.0,13998,0,0,1,0,1
434, Octavia,1,1.6,13498,0,0,1,1,0
435, Octavia,1,1.6,14998,0,0,1,1,0
436, Octavia,1,1.0,13498,0,1,0,0,1
437, Octavia,2,1.6,12998,0,1,0,1,0
438, Fabia,2,1.0,9298,0,1,0,0,1
439, Superb,3,1.6,11998,0,1,0,1,0
440, Fabia,1,1.0,12998,0,1,0,0,1
441, Fabia,1,1.0,10395,0,1,0,0,1
442, Fabia,1,1.0,11995,0,1,0,0,1
443, Superb,1,2.0,29695,1,0,0,0,1
444, Fabia,2,1.0,9524,0,1,0,0,1
445, Fabia,2,1.0,9298,0,1,0,0,1
446, Octavia,2,1.6,13798,0,1,0,1,0
447, Octavia,4,2.0,14995,0,0,1,1,0
448, Octavia,5,1.2,7495,0,1,0,0,1
449, Fabia,3,1.2,8995,0,1,0,0,1
450, Superb,1,1.5,16695,0,1,0,0,1
451, Octavia,1,1.0,12595,0,1,0,0,1
452, Fabia,1,1.0,10395,0,1,0,0,1
453, Octavia,6,1.4,8395,0,1,0,0,1
454, Fabia,0,1.0,13650,0,1,0,0,1
455, Fabia,0,1.0,12985,0,1,0,0,1
456, Kodiaq,0,2.0,26419,1,0,0,1,0
457, Superb,1,2.0,26495,1,0,0,0,1
458, Kodiaq,1,2.0,28995,1,0,0,1,0
459, Octavia,1,1.5,18495,1,0,0,0,1
460, Scala,1,1.6,20995,1,0,0,1,0
461, Fabia,1,1.0,13295,0,1,0,0,1
462, Fabia,3,1.0,9295,0,1,0,0,1
463, Scala,1,1.0,14995,0,1,0,0,1
464, Octavia,2,2.0,13498,0,1,0,1,0
465, Octavia,4,2.0,12498,0,1,0,1,0
466, Superb,1,2.0,17998,0,1,0,1,0
467, Superb,1,1.6,20998,0,0,1,1,0
468, Octavia,1,1.6,14498,0,1,0,1,0
469, Octavia,2,1.6,12998,0,1,0,1,0
470, Octavia,2,1.6,13998,0,1,0,1,0
471, Octavia,1,1.0,13498,0,0,1,0,1
472, Octavia,6,1.6,7498,0,1,0,1,0
473, Fabia,4,1.2,8698,0,1,0,0,1
474, Yeti Outdoor,6,2.0,10750,0,1,0,1,0
475, Fabia,3,1.2,9708,0,0,1,0,1
476, Kamiq,0,1.5,19885,0,0,1,0,1
477, Octavia,0,1.5,20880,0,0,1,0,1
478, Fabia,0,1.0,14731,0,1,0,0,1
479, Fabia,0,1.0,13430,0,1,0,0,1
480, Octavia,3,1.4,12985,0,0,1,0,1
481, Octavia,1,2.0,19875,0,1,0,0,1
482, Octavia,4,1.4,12498,0,0,1,0,1
483, Kodiaq,2,2.0,25500,1,0,0,1,0
484, Kodiaq,3,2.0,21000,0,1,0,1,0
485, Octavia,4,1.0,11998,0,0,1,0,1
486, Octavia,1,1.6,12498,0,1,0,1,0
487, Fabia,3,1.2,7499,0,1,0,0,1
488, Kodiaq,1,2.0,28999,1,0,0,1,0
489, Fabia,3,1.0,9499,0,1,0,0,1
490, Fabia,3,1.0,7599,0,1,0,0,1
491, Superb,4,1.4,11998,0,1,0,0,1
492, Superb,2,1.5,18798,0,0,1,0,1
493, Fabia,3,1.0,9857,1,0,0,0,1
494, Superb,2,1.6,17800,0,0,1,1,0
495, Citigo,3,1.0,6991,1,0,0,0,1
496, Fabia,3,1.0,8650,0,1,0,0,1
497, Superb,1,2.0,18798,0,0,1,1,0
498, Superb,4,2.0,13998,0,0,1,1,0
499, Yeti Outdoor,5,2.0,10281,0,1,0,1,0
